time;user;action;place
23-12-23 02:26:09;nakyss;Join-Voice-Channel;Serveur test de Nakyss / Général
23-12-23 02:26:12;nakyss;Left-Voice-Channel;Serveur test de Nakyss / Général
23-12-23 02:26:30;nakyss;Join-Voice-Channel;Serveur test de Nakyss / Général
23-12-23 02:26:31;nakyss;Left-Voice-Channel;Serveur test de Nakyss / Général
23-12-23 14:28:35;nakyss;Join-Voice-Channel;Les Boys / OH C UN GAT�
23-12-23 14:54:35;nakyss;Left-Voice-Channel;Les Boys / OH C UN GAT�
23-12-23 15:22:28;nakyss;Join-Voice-Channel;Les Boys / OH C UN GATé
23-12-23 15:22:35;nakyss;Left-Voice-Channel;Les Boys / OH C UN GATé
23-12-23 15:22:38;nakyss;Join-Voice-Channel;Serveur test de Nakyss / Général
23-12-23 15:22:40;nakyss;Left-Voice-Channel;Serveur test de Nakyss / Général
23-12-23 15:22:43;nakyss;Join-Voice-Channel;Les Boys / OH C UN GATé
23-12-23 16:31:16;nakyss;Send-10-'caca';Serveur test de Nakyss / général
23-12-23 16:33:11;nakyss;Send-10-'yes';Serveur test de Nakyss / général
23-12-23 16:33:17;nakyss;Left-Voice-Channel;Les Boys / OH C UN GATé
23-12-23 16:33:17;nakyss;Join-Voice-Channel;Serveur test de Nakyss / Général
23-12-23 16:33:21;nakyss;Left-Voice-Channel;Serveur test de Nakyss / Général
23-12-23 16:33:31;nakyss;Join-Voice-Channel;Les Boys / OH C UN GATé
23-12-23 18:17:54;naga;Join-Voice-Channel;Les Boys / OH C UN GATé
23-12-23 19:32:35;nakyss;Left-Voice-Channel;Les Boys / OH C UN GATé
23-12-23 19:32:38;naga;Left-Voice-Channel;Les Boys / OH C UN GATé
23-12-23 19:32:39;nakyss;Join-Voice-Channel;Les Boys / OH C UN GATé
23-12-23 19:32:47;naga;Join-Voice-Channel;Les Boys / OH C UN GATé
23-12-23 19:53:47;nakyss;Join-Voice-Channel;Les Boys / OH C UN GATé
23-12-23 19:53:48;onizukal;Join-Voice-Channel;Les Boys / OH C UN GATé
23-12-23 19:54:27;naga;Join-Voice-Channel;Les Boys / OH C UN GATé
23-12-23 19:54:48;naga;Join-Voice-Channel;Les Boys / OH C UN GATé
23-12-23 19:59:32;nakyss;Left-Voice-Channel;Les Boys / OH C UN GATé
23-12-23 19:59:33;nakyss;Join-Voice-Channel;Les Boys / OH C UN GATé
23-12-23 19:59:39;onizukal;Left-Voice-Channel;Les Boys / OH C UN GATé
23-12-23 19:59:40;naga;Left-Voice-Channel;Les Boys / OH C UN GATé
23-12-23 19:59:40;onizukal;Join-Voice-Channel;Les Boys / OH C UN GATé
23-12-23 19:59:41;naga;Join-Voice-Channel;Les Boys / OH C UN GATé
23-12-23 19:59:43;nakyss;Send-34-'test';Serveur test de Nakyss / général
23-12-23 20:28:54;naga;Left-Voice-Channel;Les Boys / OH C UN GATé
23-12-23 21:09:24;nakyss;Send-1500-'coucou double mlonstyrrezsfds fds';Serveur test de Nakyss / général
23-12-23 23:25:27;nakyss;Left-Voice-Channel;Les Boys / OH C UN GATé
23-12-23 23:25:36;nakyss;Join-Voice-Channel;Les Boys / OH C UN GATé
23-12-23 23:33:17;naga;Join-Voice-Channel;Les Boys / OH C UN GATé
23-12-23 23:43:39;onizukal;Left-Voice-Channel;Les Boys / OH C UN GATé
23-12-23 23:46:43;onizukal;Join-Voice-Channel;Les Boys / OH C UN GATé
24-12-23 00:47:18;nakyss;Send-34-'https://cdn.discordapp.com/attachments/821779557895635007/1188266508950982726/image.png?ex=6599e66c&is=6587716c&hm=c8f965e2bb5f1f70e1419cea7d050396d33697768772b47e88b7f52d0aadd86f&';Les Boys / 💬-général
24-12-23 02:09:08;nakyss;Left-Voice-Channel;Les Boys / OH C UN GATé
24-12-23 02:28:52;onizukal;Left-Voice-Channel;Les Boys / OH C UN GATé
24-12-23 03:33:00;3l_shimizu;Join-Voice-Channel;Les Boys / OH C UN GATé
24-12-23 03:34:52;3l_shimizu;Left-Voice-Channel;Les Boys / OH C UN GATé
24-12-23 03:38:49;naga;Left-Voice-Channel;Les Boys / OH C UN GATé
24-12-23 14:57:00;nakyss;Join-Voice-Channel;Les Boys / OH C UN GATé
24-12-23 14:57:08;nakyss;Left-Voice-Channel;Les Boys / OH C UN GATé
24-12-23 14:57:10;nakyss;Join-Voice-Channel;Les Boys / salon aaifquaka
24-12-23 14:57:12;nakyss;Left-Voice-Channel;Les Boys / salon aaifquaka
24-12-23 14:57:12;nakyss;Join-Voice-Channel;Les Boys / il vont se blesser le zizi mutuellement
24-12-23 14:57:13;nakyss;Left-Voice-Channel;Les Boys / il vont se blesser le zizi mutuellement
24-12-23 14:57:14;nakyss;Join-Voice-Channel;Les Boys / salon aaifquaka
24-12-23 14:57:16;nakyss;Left-Voice-Channel;Les Boys / salon aaifquaka
24-12-23 14:57:16;nakyss;Join-Voice-Channel;Les Boys / OH C UN GATé
24-12-23 14:57:18;nakyss;Left-Voice-Channel;Les Boys / OH C UN GATé
24-12-23 14:57:19;nakyss;Join-Voice-Channel;Les Boys / il vont se blesser le zizi mutuellement
24-12-23 14:57:20;nakyss;Left-Voice-Channel;Les Boys / il vont se blesser le zizi mutuellement
24-12-23 14:57:20;nakyss;Join-Voice-Channel;Les Boys / salon aaifquaka
24-12-23 14:57:21;nakyss;Left-Voice-Channel;Les Boys / salon aaifquaka
24-12-23 14:57:29;nakyss;Join-Voice-Channel;Les Boys / OH C UN GATé
24-12-23 14:57:30;nakyss;Left-Voice-Channel;Les Boys / OH C UN GATé
24-12-23 14:57:32;nakyss;Join-Voice-Channel;Serveur test de Nakyss / Général
24-12-23 14:57:33;nakyss;Left-Voice-Channel;Serveur test de Nakyss / Général
24-12-23 14:57:34;nakyss;Join-Voice-Channel;Serveur test de Nakyss / Général
24-12-23 14:57:35;nakyss;Left-Voice-Channel;Serveur test de Nakyss / Général
24-12-23 14:57:36;nakyss;Join-Voice-Channel;Serveur test de Nakyss / Général
24-12-23 14:57:37;nakyss;Left-Voice-Channel;Serveur test de Nakyss / Général
24-12-23 17:59:11;nakyss;Join-Voice-Channel;Serveur test de Nakyss / Général
24-12-23 17:59:21;nakyss;Left-Voice-Channel;Serveur test de Nakyss / Général
25-12-23 16:45:50;onizukal;Join-Voice-Channel;Les Boys / OH C UN GATé
25-12-23 16:56:03;3l_shimizu;Join-Voice-Channel;Les Boys / OH C UN GATé
25-12-23 17:15:23;3l_shimizu;Left-Voice-Channel;Les Boys / OH C UN GATé
25-12-23 18:50:27;3l_shimizu;Join-Voice-Channel;Les Boys / OH C UN GATé
25-12-23 18:50:54;3l_shimizu;Left-Voice-Channel;Les Boys / OH C UN GATé
25-12-23 20:18:57;naga;Join-Voice-Channel;Les Boys / OH C UN GATé
25-12-23 20:53:04;3l_shimizu;Join-Voice-Channel;Les Boys / OH C UN GATé
25-12-23 20:58:55;3l_shimizu;Left-Voice-Channel;Les Boys / OH C UN GATé
25-12-23 21:12:24;3l_shimizu;Join-Voice-Channel;Les Boys / OH C UN GATé
25-12-23 21:56:42;3l_shimizu;Left-Voice-Channel;Les Boys / OH C UN GATé
25-12-23 23:12:23;3l_shimizu;Join-Voice-Channel;Les Boys / OH C UN GATé
25-12-23 23:19:44;onizukal;Left-Voice-Channel;Les Boys / OH C UN GATé
25-12-23 23:21:05;onizukal;Join-Voice-Channel;Les Boys / OH C UN GATé
25-12-23 23:21:17;3l_shimizu;Left-Voice-Channel;Les Boys / OH C UN GATé
26-12-23 00:39:07;onizukal;Left-Voice-Channel;Les Boys / OH C UN GATé
26-12-23 00:39:15;naga;Left-Voice-Channel;Les Boys / OH C UN GATé
26-12-23 17:08:31;onizukal;Join-Voice-Channel;Les Boys / OH C UN GATé
26-12-23 17:12:34;nakyss;Join-Voice-Channel;Les Boys / OH C UN GATé
26-12-23 18:39:28;nakyss;Left-Voice-Channel;Les Boys / OH C UN GATé
26-12-23 18:53:01;3l_shimizu;Join-Voice-Channel;Les Boys / OH C UN GATé
26-12-23 19:22:04;3l_shimizu;Left-Voice-Channel;Les Boys / OH C UN GATé
26-12-23 19:26:33;3l_shimizu;Join-Voice-Channel;Les Boys / OH C UN GATé
26-12-23 20:26:28;nakyss;Join-Voice-Channel;Les Boys / OH C UN GATé
26-12-23 22:05:46;nakyss;Join-Voice-Channel;Serveur test de Nakyss / Général
26-12-23 22:05:46;nakyss;Left-Voice-Channel;Les Boys / OH C UN GATé
26-12-23 22:05:47;onizukal;Left-Voice-Channel;Les Boys / OH C UN GATé
26-12-23 22:05:51;nakyss;Left-Voice-Channel;Serveur test de Nakyss / Général
26-12-23 22:05:51;nakyss;Join-Voice-Channel;Les Boys / OH C UN GATé
26-12-23 22:05:54;onizukal;Join-Voice-Channel;Les Boys / OH C UN GATé
26-12-23 22:16:14;nakyss;Left-Voice-Channel;Les Boys / OH C UN GATé
26-12-23 22:16:16;nakyss;Join-Voice-Channel;Les Boys / OH C UN GATé
26-12-23 22:35:09;nakyss;Left-Voice-Channel;Les Boys / OH C UN GATé
26-12-23 22:35:11;nakyss;Join-Voice-Channel;Les Boys / OH C UN GATé
26-12-23 22:38:08;onizukal;Left-Voice-Channel;Les Boys / OH C UN GATé
26-12-23 22:38:09;onizukal;Join-Voice-Channel;Les Boys / OH C UN GATé
26-12-23 22:38:13;onizukal;Left-Voice-Channel;Les Boys / OH C UN GATé
26-12-23 22:38:15;onizukal;Join-Voice-Channel;Les Boys / OH C UN GATé
26-12-23 22:38:28;onizukal;Left-Voice-Channel;Les Boys / OH C UN GATé
26-12-23 22:38:30;onizukal;Join-Voice-Channel;Les Boys / OH C UN GATé
26-12-23 23:07:37;nakyss;Left-Voice-Channel;Les Boys / OH C UN GATé
26-12-23 23:22:49;nakyss2;Left-Voice-Channel;Les Boys / OH C UN GATé
26-12-23 23:22:55;nakyss;Join-Voice-Channel;Les Boys / OH C UN GATé
26-12-23 23:37:46;nakyss;Send-3-'caca';Serveur test de Nakyss / général
26-12-23 23:45:38;nakyss;Left-Voice-Channel;Les Boys / OH C UN GATé
26-12-23 23:45:38;nakyss;Join-Voice-Channel;Serveur test de Nakyss / Général
26-12-23 23:45:52;nakyss;Left-Voice-Channel;Serveur test de Nakyss / Général
26-12-23 23:45:52;nakyss;Join-Voice-Channel;Les Boys / OH C UN GATé
26-12-23 23:46:31;nakyss;Left-Voice-Channel;Les Boys / OH C UN GATé
26-12-23 23:46:31;nakyss;Join-Voice-Channel;Serveur test de Nakyss / Général
26-12-23 23:46:39;nakyss;Left-Voice-Channel;Serveur test de Nakyss / Général
26-12-23 23:46:39;nakyss;Join-Voice-Channel;Les Boys / OH C UN GATé
26-12-23 23:52:59;onizukal;Join-Voice-Channel;Serveur test de Nakyss / Général
26-12-23 23:52:59;onizukal;Left-Voice-Channel;Les Boys / OH C UN GATé
